track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2xeaHUnzzT5Kc974OQt1kA,0.852,0.762,6,-4.448,0,0.0487,0.333,1.66e-06,0.159,0.907,131.958
2Sjx8DWZO5zaTyTAmgo2gY,0.428,0.439,5,-7.674,1,0.0591,0.57,0.0,0.153,0.418,150.007
5cYEuFqzITZlZzpoR1sHvu,0.765,0.675,1,-5.687,1,0.0402,0.0585,1.51e-06,0.0703,0.886,100.939
0xaFw2zDYf1rIJWl2dXiSF,0.665,0.59,9,-7.608,1,0.161,0.763,0.0132,0.147,0.216,77.559
3OHfY25tqY28d16oZczHc8,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993
1TweDM3JC49LNeelLVg3yX,0.734,0.689,10,-6.454,0,0.0871,0.532,8.47e-05,0.322,0.705,149.579
1wdKQqDsZ1LTmhQEX407rM,0.63,0.633,2,-15.388,1,0.23,0.34,0.0,0.226,0.54,146.863
4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008
5dry5tz8yLcLuOJ3l6ZEQd,0.711,0.931,1,-4.042,1,0.0323,0.0914,4.41e-05,0.0892,0.775,118.009
6MEDfjHxnVNcYmHe3mM6L2,0.479,0.558,11,-6.074,1,0.179,0.227,0.0,0.0808,0.8,83.465
1UsQe17Ef7tV1ahFqHEFR3,0.521,0.526,1,-8.691,1,0.276,0.131,0.000577,0.173,0.179,161.571
2ohegz9maxzroKBu9YhcCM,0.394,0.433,8,-13.473,1,0.374,0.485,7.81e-05,0.817,0.394,118.988
3NV4DUVDd2qubFtp4CgQ3p,0.752,0.723,5,-4.967,1,0.0717,0.38,0.0,0.221,0.644,175.073
7sr74Bz3GBTNMQe1m4F5Ut,0.683,0.921,2,-4.833,1,0.227,0.08,1.46e-06,0.225,0.625,160.088
03S5vMBN07OOnPj1SCMsxV,0.468,0.912,1,-6.909,0,0.448,0.0874,1.51e-05,0.128,0.438,139.505
