track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Leave The Door Open,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,pop
Love Me Harder,0.486,0.712,1,-4.388,0,0.0328,0.00936,0.0,0.0764,0.244,99.128,pop
fun out of it,0.617,0.827,5,-5.583,0,0.041,0.0724,7.14e-05,0.334,0.566,151.987,pop
Yuck,0.765,0.675,1,-5.687,1,0.0402,0.0585,1.51e-06,0.0703,0.886,100.939,pop
Less Than Zero,0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981,pop
Just A Stranger (feat. Steve Lacy),0.745,0.672,9,-5.738,1,0.0346,0.127,0.0,0.103,0.641,108.031,pop
Any Kind of Guy,0.676,0.756,9,-3.709,0,0.0459,0.222,0.0,0.0602,0.678,111.979,pop
Seek & Destroy,0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,pop
Smokin Out The Window,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,pop
Love You Like A Love Song,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,pop
One Right Now (with The Weeknd),0.682,0.764,1,-5.411,1,0.0477,0.0363,0.0,0.103,0.701,97.023,pop
Umbrella,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,pop
You Right,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,pop
How Do I Make You Love Me?,0.805,0.498,7,-7.927,0,0.0737,0.0203,2.37e-05,0.085,0.636,121.006,pop
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,pop
Low,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,pop
Love Never Felt So Good,0.634,0.87,5,-5.277,1,0.0362,0.083,0.0,0.18,0.514,116.967,pop
Fly As Me,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,pop
Too Late,0.638,0.863,4,-5.221,0,0.132,0.052,5.46e-05,0.685,0.226,120.077,pop
CHARGER (ft. Charli XCX),0.804,0.593,1,-10.459,1,0.045,0.171,0.063,0.115,0.473,114.04,pop
F2F,0.533,0.74,2,-5.767,1,0.0359,0.089,2.95e-06,0.337,0.465,89.934,pop
Beach Boy,0.734,0.67,11,-5.691,1,0.0248,0.167,7.32e-06,0.136,0.578,110.985,pop
Skate,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,pop
Used To Know Me,0.711,0.931,1,-4.042,1,0.0323,0.0914,4.41e-05,0.0892,0.775,118.009,pop
Day One (with Pharrell & Pusha T),0.732,0.653,9,-7.921,0,0.206,0.616,0.0,0.149,0.931,89.946,pop
Boyfriend,0.614,0.857,1,-4.171,0,0.111,0.0987,0.0,0.177,0.677,164.146,pop
House Of Balloons / Glass Table Girls - Original,0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,pop
Prom,0.805,0.702,1,-4.877,1,0.0887,0.0639,0.0,0.123,0.225,120.048,pop
Banana Clip,0.638,0.708,1,-5.342,0,0.0754,0.0973,0.0,0.177,0.606,84.978,pop
Ready or Not,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,pop
After Last Night (with Thundercat & Bootsy Collins),0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,pop
If I Get To Meet You,0.679,0.682,2,-7.096,1,0.0627,0.494,0.0558,0.0786,0.799,157.064,pop
Beg For You (feat. Rina Sawayama),0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036,pop
Gasoline,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006,pop
Worldwide,0.531,0.771,4,-6.162,1,0.0468,0.0735,0.0,0.17,0.617,159.973,pop
Love's Train,0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981,pop
Kool,0.911,0.811,11,-3.637,1,0.0509,0.00492,6.21e-06,0.209,0.97,119.054,pop
Broken Clocks,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,pop
Cinema,0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,0.896,105.993,pop
Ninety,0.398,0.69,1,-6.809,0,0.0631,0.384,0.000437,0.129,0.174,129.904,pop
Moth To A Flame (with The Weeknd),0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,pop
Is There Someone Else?,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951,pop
Plain (feat. Lily Allen & Flo Milli),0.824,0.545,1,-6.062,1,0.0708,0.269,0.0,0.0928,0.827,122.999,pop
Good Ones,0.764,0.672,7,-5.947,0,0.0293,0.072,3.32e-06,0.0806,0.789,129.049,pop
What's My Name?,0.689,0.784,2,-2.972,1,0.074,0.182,0.0,0.0843,0.561,99.954,pop
Tell Me Something I Don't Know,0.71,0.935,7,-3.339,0,0.193,0.14,0.0,0.0593,0.914,145.063,pop
Repeat After Me (Interlude),0.555,0.619,0,-7.918,1,0.0314,0.0323,0.000224,0.0917,0.141,95.032,pop
Xscape (Original Version),0.79,0.93,7,-2.49,1,0.0752,0.0633,0.00391,0.315,0.625,104.015,pop
Slide (feat. Frank Ocean & Migos),0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,pop
Glad You Came,0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885,pop
