track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Superhero (Heroes & Villains) [with Future & Chris Brown],0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,rap
Freestyle,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,rap
No Role Modelz,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,rap
Rich Flex,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,rap
King Snipe,0.818,0.526,1,-8.078,1,0.277,0.0103,0.0,0.146,0.531,125.061,rap
Just Wanna Rock,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,rap
Too Many Nights (feat. Don Toliver & with Future),0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,rap
KNIGHT CRAWLER (feat. Juice WRLD),0.679,0.769,0,-3.539,1,0.24,0.0537,0.0,0.309,0.424,130.094,rap
Mad Max,0.898,0.64,5,-8.796,0,0.255,0.0212,0.0,0.0919,0.68,149.988,rap
"Nuthin' But A ""G"" Thang",0.669,0.821,11,-4.37,0,0.29,0.00182,0.0,0.147,0.684,94.895,rap
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,rap
Two Tens (feat. Anderson .Paak),0.603,0.546,4,-7.525,0,0.35,0.194,2.68e-06,0.0783,0.667,87.99,rap
23,0.852,0.487,2,-7.991,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,rap
Hell Yeah,0.696,0.708,9,-4.737,1,0.0438,0.000113,0.0,0.444,0.287,142.026,rap
JOC IN '06,0.857,0.524,1,-11.931,1,0.279,0.0255,0.0,0.336,0.379,137.943,rap
Sucka Or Sum,0.828,0.539,1,-7.3,1,0.225,0.205,3.83e-05,0.305,0.68,125.05,rap
PUT YOU ON GAME,0.805,0.692,10,-2.142,0,0.301,0.273,0.0,0.126,0.601,145.904,rap
Quickie,0.87,0.506,2,-9.415,1,0.432,0.0901,0.0,0.145,0.347,137.921,rap
"One Mic, One Gun",0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,rap
Hanging With Wolves,0.823,0.636,11,-7.239,0,0.0612,0.0168,0.0,0.108,0.5,151.978,rap
Conceited (feat. Lola Brooke & Maiya The Don),0.94,0.761,8,-4.408,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,rap
In Ha Mood,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,rap
Out thë way,0.767,0.628,4,-7.41,0,0.242,0.21,8.79e-06,0.275,0.798,128.07,rap
Players,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,rap
My All,0.493,0.613,1,-6.636,1,0.414,0.0393,0.0,0.128,0.373,156.104,rap
Pussy & Millions (feat. Travis Scott),0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,rap
Water (Drowning Pt. 2) [feat. Kodak Black],0.855,0.603,0,-5.488,1,0.284,0.0392,0.0,0.105,0.494,129.976,rap
